ship_id,ship_name,itinerary_name,number_of_days,depart_from,start_day,rating,url
1283,Darwin,A4 Días/3 Noches,4 days,Baltra Island Airport,Thursday,62.0,https://www.galapagosadvisor.com/ships/darwin/itineraries/a4-días3-noches/
1283,Darwin,A5 Días/4 Noches,5 days,Baltra Island Airport,Sunday,62.0,https://www.galapagosadvisor.com/ships/darwin/itineraries/a5-días4-noches/
1283,Darwin,b4,4 days,Baltra Island Airport,Monday,64.0,https://www.galapagosadvisor.com/ships/darwin/itineraries/b4/
1283,Darwin,b5,5 days,Baltra Island Airport,Thursday,65.0,https://www.galapagosadvisor.com/ships/darwin/itineraries/b5/
1754,Ecogalaxy,Itinerary A,5 days,San Cristóbal Island Airport,Tuesday,72.0,https://www.galapagosadvisor.com/ships/ecogalaxy/itineraries/itinerary-a/
1754,Ecogalaxy,Itinerary B,6 days,Baltra Island Airport,Saturday,69.0,https://www.galapagosadvisor.com/ships/ecogalaxy/itineraries/itinerary-b/
1754,Ecogalaxy,Itinerary C,6 days,Baltra Island Airport,Thursday,60.0,https://www.galapagosadvisor.com/ships/ecogalaxy/itineraries/itinerary-c/
1754,Ecogalaxy,Itinerary D,8 days,Baltra Island Airport,Saturday,66.0,https://www.galapagosadvisor.com/ships/ecogalaxy/itineraries/itinerary-d/
1754,Ecogalaxy,Itinerary E,4 days,Baltra Island Airport,Saturday,60.0,https://www.galapagosadvisor.com/ships/ecogalaxy/itineraries/itinerary-e/
1284,Eden,Itinerary 1,8 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/eden/itineraries/itinerary-1/
1284,Eden,Itinerary 1A,5 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/eden/itineraries/itinerary-1a/
1284,Eden,Itinerary 1B,4 days,Baltra Island Airport,Thursday,64.0,https://www.galapagosadvisor.com/ships/eden/itineraries/itinerary-1b/
1284,Eden,Itinerary 2,8 days,San Cristóbal Island Airport,Sunday,69.0,https://www.galapagosadvisor.com/ships/eden/itineraries/itinerary-2/
1284,Eden,Itinerary 2A,3 days,San Cristóbal Island Airport,Sunday,69.0,https://www.galapagosadvisor.com/ships/eden/itineraries/itinerary-2a/
1284,Eden,Itinerary 2B,6 days,Baltra Island Airport,Tuesday,69.0,https://www.galapagosadvisor.com/ships/eden/itineraries/itinerary-2b/
3734,Elite,A 8Days,8 days,San Cristóbal Island Airport,Saturday,65.0,https://www.galapagosadvisor.com/ships/elite/itineraries/a-8days/
3734,Elite,B 8Days,8 days,San Cristóbal Island Airport,Saturday,63.0,https://www.galapagosadvisor.com/ships/elite/itineraries/b-8days/
3734,Elite,C 4Days,4 days,San Cristóbal Island Airport,Saturday,62.0,https://www.galapagosadvisor.com/ships/elite/itineraries/c-4days/
3734,Elite,D 5Days,5 days,Baltra Island Airport,Tuesday,64.0,https://www.galapagosadvisor.com/ships/elite/itineraries/d-5days/
3719,Endemic,A 8Days,8 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/endemic/itineraries/a-8days/
3719,Endemic,B 8Days,8 days,Baltra Island Airport,Sunday,66.0,https://www.galapagosadvisor.com/ships/endemic/itineraries/b-8days/
3719,Endemic,C 5Days,5 days,Baltra Island Airport,Sunday,70.0,https://www.galapagosadvisor.com/ships/endemic/itineraries/c-5days/
3719,Endemic,D 4Days,4 days,Baltra Island Airport,Thursday,62.0,https://www.galapagosadvisor.com/ships/endemic/itineraries/d-4days/
3719,Endemic,E 6Days,6 days,Baltra Island Airport,Thursday,65.0,https://www.galapagosadvisor.com/ships/endemic/itineraries/e-6days/
3719,Endemic,F 6Days,6 days,Baltra Island Airport,Tuesday,62.0,https://www.galapagosadvisor.com/ships/endemic/itineraries/f-6days/
1290,Equinox,Itinerary A,8 days,Baltra Island Airport,Tuesday,63.0,https://www.galapagosadvisor.com/ships/equinox/itineraries/itinerary-a/
1290,Equinox,Itinerary A4,4 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/equinox/itineraries/itinerary-a4/
1290,Equinox,Itinerary A5,5 days,Baltra Island Airport,Friday,60.0,https://www.galapagosadvisor.com/ships/equinox/itineraries/itinerary-a5/
1290,Equinox,Itinerary B,8 days,San Cristóbal Island Airport,Tuesday,69.0,https://www.galapagosadvisor.com/ships/equinox/itineraries/itinerary-b/
1286,Estrella de Mar,Itinerary A,8 days,Baltra Island Airport,Monday,63.0,https://www.galapagosadvisor.com/ships/estrella-de-mar/itineraries/itinerary-a/
1286,Estrella de Mar,Itinerary B,8 days,San Cristóbal Island Airport,Monday,70.0,https://www.galapagosadvisor.com/ships/estrella-de-mar/itineraries/itinerary-b/
1286,Estrella de Mar,Itinerary B4,4 days,Baltra Island Airport,Friday,75.0,https://www.galapagosadvisor.com/ships/estrella-de-mar/itineraries/itinerary-b4/
1286,Estrella de Mar,Itinerary B5,5 days,San Cristóbal Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/estrella-de-mar/itineraries/itinerary-b5/
1609,Evolution,Itinerary A,8 days,Baltra Island Airport,Saturday,68.0,https://www.galapagosadvisor.com/ships/evolution/itineraries/itinerary-a/
1609,Evolution,Itinerary B,8 days,San Cristóbal Island Airport,Saturday,66.0,https://www.galapagosadvisor.com/ships/evolution/itineraries/itinerary-b/
1287,Flamingo,Itinerary A,8 days,Baltra Island Airport,Tuesday,62.0,https://www.galapagosadvisor.com/ships/flamingo/itineraries/itinerary-a/
1287,Flamingo,Itinerary A1,4 days,Baltra Island Airport,Tuesday,61.0,https://www.galapagosadvisor.com/ships/flamingo/itineraries/itinerary-a1/
1287,Flamingo,Itinerary A2,5 days,San Cristóbal Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/flamingo/itineraries/itinerary-a2/
1287,Flamingo,Itinerary B,8 days,Baltra Island Airport,Tuesday,62.0,https://www.galapagosadvisor.com/ships/flamingo/itineraries/itinerary-b/
1287,Flamingo,Itinerary B1,4 days,Baltra Island Airport,Tuesday,63.0,https://www.galapagosadvisor.com/ships/flamingo/itineraries/itinerary-b1/
1287,Flamingo,Itinerary B2,5 days,Baltra Island Airport,Friday,62.0,https://www.galapagosadvisor.com/ships/flamingo/itineraries/itinerary-b2/
1288,Floreana,North Itinerary,8 days,Baltra Island Airport,Thursday,68.0,https://www.galapagosadvisor.com/ships/floreana/itineraries/north-itinerary/
1288,Floreana,South Itinerary,8 days,Baltra Island Airport,Thursday,62.0,https://www.galapagosadvisor.com/ships/floreana/itineraries/south-itinerary/
1289,Fragata,Itinerary A,4 days,Baltra Island Airport,Tuesday,60.0,https://www.galapagosadvisor.com/ships/fragata/itineraries/itinerary-a/
1289,Fragata,Itinerary B,5 days,Baltra Island Airport,Friday,69.0,https://www.galapagosadvisor.com/ships/fragata/itineraries/itinerary-b/
1289,Fragata,Itinerary C,8 days,Baltra Island Airport,Friday,70.0,https://www.galapagosadvisor.com/ships/fragata/itineraries/itinerary-c/
1289,Fragata,Itinerary D,8 days,Baltra Island Airport,Friday,65.0,https://www.galapagosadvisor.com/ships/fragata/itineraries/itinerary-d/
1293,GALAPAGOS SEA STAR,Itinerary A,6 days,San Cristóbal Island Airport,Tuesday,65.0,https://www.galapagosadvisor.com/ships/galapagos-sea-star/itineraries/itinerary-a/
1293,GALAPAGOS SEA STAR,Itinerary B,5 days,Baltra Island Airport,Sunday,66.0,https://www.galapagosadvisor.com/ships/galapagos-sea-star/itineraries/itinerary-b/
1293,GALAPAGOS SEA STAR,Itinerary C,6 days,Baltra Island Airport,Thursday,65.0,https://www.galapagosadvisor.com/ships/galapagos-sea-star/itineraries/itinerary-c/
1291,Galaxy,Itinerary A,5 days,San Cristóbal Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/galaxy/itineraries/itinerary-a/
1291,Galaxy,Itinerary B,6 days,Baltra Island Airport,Saturday,65.0,https://www.galapagosadvisor.com/ships/galaxy/itineraries/itinerary-b/
1291,Galaxy,Itinerary C,6 days,Baltra Island Airport,Thursday,67.0,https://www.galapagosadvisor.com/ships/galaxy/itineraries/itinerary-c/
1291,Galaxy,Itinerary D,8 days,Baltra Island Airport,Saturday,66.0,https://www.galapagosadvisor.com/ships/galaxy/itineraries/itinerary-d/
1291,Galaxy,Itinerary E,4 days,Baltra Island Airport,Saturday,65.0,https://www.galapagosadvisor.com/ships/galaxy/itineraries/itinerary-e/
1292,Golondrina,Itinerary A,4 days,Baltra Island Airport,Tuesday,60.0,https://www.galapagosadvisor.com/ships/golondrina/itineraries/itinerary-a/
1292,Golondrina,Itinerary B,5 days,Baltra Island Airport,Friday,69.0,https://www.galapagosadvisor.com/ships/golondrina/itineraries/itinerary-b/
1292,Golondrina,Itinerary C,8 days,Baltra Island Airport,Friday,70.0,https://www.galapagosadvisor.com/ships/golondrina/itineraries/itinerary-c/
1292,Golondrina,Itinerary D,8 days,Baltra Island Airport,Friday,65.0,https://www.galapagosadvisor.com/ships/golondrina/itineraries/itinerary-d/
1292,Golondrina,Itinerary H,5 days,Baltra Island Airport,Friday,60.0,https://www.galapagosadvisor.com/ships/golondrina/itineraries/itinerary-h/
1587,Grace,Itinerary A,8 days,Baltra Island Airport,Saturday,69.0,https://www.galapagosadvisor.com/ships/grace/itineraries/itinerary-a/
1587,Grace,Itinerary B,8 days,San Cristóbal Island Airport,Saturday,64.0,https://www.galapagosadvisor.com/ships/grace/itineraries/itinerary-b/
1299,Grand Majestic,A,8 days,San Cristóbal Island Airport,Monday,64.0,https://www.galapagosadvisor.com/ships/grand-majestic/itineraries/a/
1299,Grand Majestic,A 4day,4 days,San Cristóbal Island Airport,Monday,62.0,https://www.galapagosadvisor.com/ships/grand-majestic/itineraries/a-4day/
1299,Grand Majestic,A 5day,5 days,Baltra Island Airport,Thursday,66.0,https://www.galapagosadvisor.com/ships/grand-majestic/itineraries/a-5day/
1299,Grand Majestic,B,8 days,San Cristóbal Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/grand-majestic/itineraries/b/
3782,Infinity,A 8Days,8 days,Baltra Island Airport,Tuesday,63.0,https://www.galapagosadvisor.com/ships/infinity/itineraries/a-8days/
3782,Infinity,B 8Days,8 days,San Cristóbal Island Airport,Tuesday,72.0,https://www.galapagosadvisor.com/ships/infinity/itineraries/b-8days/
3782,Infinity,C 4Days,4 days,Baltra Island Airport,Tuesday,67.0,https://www.galapagosadvisor.com/ships/infinity/itineraries/c-4days/
3782,Infinity,D 5Days,5 days,Baltra Island Airport,Friday,60.0,https://www.galapagosadvisor.com/ships/infinity/itineraries/d-5days/
1295,Integrity,The Eastern Route,8 days,Baltra Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/integrity/itineraries/the-eastern-route/
1295,Integrity,The Western Route,8 days,Baltra Island Airport,Saturday,64.0,https://www.galapagosadvisor.com/ships/integrity/itineraries/the-western-route/
1296,ISABELA II,Central Islands,5 days,Baltra Island Airport,Monday,68.0,https://www.galapagosadvisor.com/ships/isabela-ii/itineraries/central-islands/
1296,ISABELA II,Northern Islands,7 days,San Cristóbal Island Airport,Tuesday,70.0,https://www.galapagosadvisor.com/ships/isabela-ii/itineraries/northern-islands/
1296,ISABELA II,Southern Islands,5 days,Baltra Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/isabela-ii/itineraries/southern-islands/
1297,King of the Sea,Itinerary A,8 days,Baltra Island Airport,Monday,65.0,https://www.galapagosadvisor.com/ships/king-of-the-sea/itineraries/itinerary-a/
1297,King of the Sea,Itinerary A1,4 days,San Cristóbal Island Airport,Friday,63.0,https://www.galapagosadvisor.com/ships/king-of-the-sea/itineraries/itinerary-a1/
1297,King of the Sea,Itinerary A2,5 days,Baltra Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/king-of-the-sea/itineraries/itinerary-a2/
1297,King of the Sea,Itinerary B,8 days,Baltra Island Airport,Monday,61.0,https://www.galapagosadvisor.com/ships/king-of-the-sea/itineraries/itinerary-b/
1297,King of the Sea,Itinerary B1,4 days,Baltra Island Airport,Monday,60.0,https://www.galapagosadvisor.com/ships/king-of-the-sea/itineraries/itinerary-b1/
1297,King of the Sea,Itinerary B2,5 days,Baltra Island Airport,Thursday,63.0,https://www.galapagosadvisor.com/ships/king-of-the-sea/itineraries/itinerary-b2/
1298,LA PINTA,Eastern Islands,5 days,Baltra Island Airport,Thursday,69.0,https://www.galapagosadvisor.com/ships/la-pinta/itineraries/eastern-islands/
1298,LA PINTA,Northern Islands,5 days,Baltra Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/la-pinta/itineraries/northern-islands/
1298,LA PINTA,Western Islands,7 days,Baltra Island Airport,Friday,65.0,https://www.galapagosadvisor.com/ships/la-pinta/itineraries/western-islands/
1589,LEGEND,Itinerary A,4 days,Baltra Island Airport,Monday,68.0,https://www.galapagosadvisor.com/ships/legend/itineraries/itinerary-a/
1589,LEGEND,Itinerary A + B,8 days,Baltra Island Airport,Monday,69.0,https://www.galapagosadvisor.com/ships/legend/itineraries/itinerary-a-plus-b/
1589,LEGEND,Itinerary B,5 days,Baltra Island Airport,Thursday,69.0,https://www.galapagosadvisor.com/ships/legend/itineraries/itinerary-b/
1589,LEGEND,Itinerary C,4 days,Baltra Island Airport,Monday,69.0,https://www.galapagosadvisor.com/ships/legend/itineraries/itinerary-c/
1589,LEGEND,Itinerary C + D,8 days,Baltra Island Airport,Monday,63.0,https://www.galapagosadvisor.com/ships/legend/itineraries/itinerary-c-plus-d/
1589,LEGEND,Itinerary D,5 days,San Cristóbal Island Airport,Thursday,58.0,https://www.galapagosadvisor.com/ships/legend/itineraries/itinerary-d/
1773,Lonesome George,Itinerary 8E,8 days,Baltra Island Airport,Friday,62.0,https://www.galapagosadvisor.com/ships/lonesome-george/itineraries/itinerary-8e/
1300,MARY ANNE,Eastern Islands,8 days,Baltra Island Airport,Saturday,70.0,https://www.galapagosadvisor.com/ships/mary-anne/itineraries/eastern-islands/
1300,MARY ANNE,Western Islands,8 days,Baltra Island Airport,Saturday,57.0,https://www.galapagosadvisor.com/ships/mary-anne/itineraries/western-islands/
1301,MERAK,Itinerary A,8 days,Baltra Island Airport,Monday,66.0,https://www.galapagosadvisor.com/ships/merak/itineraries/itinerary-a/
1301,MERAK,Itinerary B,5 days,Baltra Island Airport,Monday,65.0,https://www.galapagosadvisor.com/ships/merak/itineraries/itinerary-b/
1301,MERAK,Itinerary C,4 days,Baltra Island Airport,Friday,67.0,https://www.galapagosadvisor.com/ships/merak/itineraries/itinerary-c/
1590,MONSERRAT,Itinerary A,8 days,Baltra Island Airport,Sunday,64.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-a/
1590,MONSERRAT,Itinerary A4,4 days,Baltra Island Airport,Thursday,66.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-a4/
1590,MONSERRAT,Itinerary A5,5 days,Baltra Island Airport,Sunday,63.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-a5/
1590,MONSERRAT,Itinerary B,8 days,San Cristóbal Island Airport,Sunday,62.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-b/
1590,MONSERRAT,Itinerary B4,4 days,Baltra Island Airport,Thursday,60.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-b4/
1590,MONSERRAT,Itinerary B5,5 days,San Cristóbal Island Airport,Sunday,63.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-b5/
1590,MONSERRAT,Itinerary C,8 days,Baltra Island Airport,Thursday,62.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-c/
1590,MONSERRAT,Itinerary D,8 days,Baltra Island Airport,Thursday,64.0,https://www.galapagosadvisor.com/ships/monserrat/itineraries/itinerary-d/
1758,NATURAL PARADISE,Itinerary A,8 days,San Cristóbal Island Airport,Tuesday,66.0,https://www.galapagosadvisor.com/ships/natural-paradise/itineraries/itinerary-a/
